miRNA,gene
hsa-miR-497_st,XPR1
hsa-miR-497_st,XYLT1
hsa-miR-497_st,YTHDC1
hsa-miR-497_st,ZBTB39
hsa-miR-497_st,ZFP41
hsa-miR-497_st,ZNF469
hsa-miR-497_st,ZNF592
hsa-miR-497_st,ZNF652
hsa-miR-497_st,ZNF697
hsa-miR-497_st,ZNRF2
hsa-miR-497_st,C20orf194
hsa-miR-497_st,C2orf68
hsa-miR-497_st,C4orf26
hsa-miR-497_st,ACVR2B
hsa-miR-497_st,CACNA1I
hsa-miR-497_st,CACNG2
hsa-miR-497_st,CADM1
hsa-miR-497_st,CASR
hsa-miR-497_st,CBLC
hsa-miR-497_st,CBX4
hsa-miR-501-3p_st,PARM1
hsa-miR-501-3p_st,SLC32A1
hsa-miR-502-3p_st,CDH5
hsa-miR-502-3p_st,ADCY2
hsa-miR-502-3p_st,CPNE2
hsa-miR-502-3p_st,CRAMP1L
hsa-miR-502-3p_st,FAM131B
hsa-miR-502-3p_st,FJX1
hsa-miR-502-3p_st,GNPTG
hsa-miR-502-3p_st,ILVBL
hsa-miR-502-3p_st,JAG2
hsa-miR-502-3p_st,KCNC3
hsa-miR-502-3p_st,KCND3
hsa-miR-502-3p_st,KCTD9
hsa-miR-502-3p_st,MYCN
hsa-miR-502-3p_st,PEG10
hsa-miR-502-3p_st,PHOX2B
hsa-miR-502-3p_st,POU3F1
hsa-miR-502-3p_st,PPP2R2C
hsa-miR-502-3p_st,RIMKLA
hsa-miR-502-3p_st,RNF144A
hsa-miR-502-3p_st,RPRD1B
hsa-miR-502-3p_st,SCN2B
hsa-miR-502-3p_st,SIM1
hsa-miR-502-3p_st,SLA2
hsa-miR-502-3p_st,SLC25A26
hsa-miR-502-3p_st,ST8SIA2
hsa-miR-502-3p_st,TARDBP
hsa-miR-502-3p_st,TMEM151B
hsa-miR-502-3p_st,TMEM198
hsa-miR-502-3p_st,TMEM65
hsa-miR-502-3p_st,UNC80
hsa-miR-502-3p_st,USP37
hsa-miR-502-3p_st,XKR6
hsa-miR-502-3p_st,ZBTB43
hsa-miR-524-3p_st,CLCN4
hsa-miR-524-3p_st,EHMT1
hsa-miR-524-3p_st,EXPH5
hsa-miR-524-3p_st,FCHSD2
hsa-miR-524-3p_st,FER
hsa-miR-524-3p_st,FOSL2
hsa-miR-524-3p_st,GNAS
hsa-miR-524-3p_st,GOLGA3
hsa-miR-524-3p_st,GRWD1
hsa-miR-524-3p_st,HMG20B
hsa-miR-524-3p_st,HSF2
hsa-miR-524-3p_st,KDM5B
hsa-miR-524-3p_st,KIF3B
hsa-miR-524-3p_st,KLF7
hsa-miR-524-3p_st,KPNA6
hsa-miR-524-3p_st,LANCL3
hsa-miR-524-3p_st,LIN28A
hsa-miR-524-3p_st,MAP7D1
hsa-miR-524-3p_st,MEF2D
hsa-miR-524-3p_st,NACC1
hsa-miR-524-3p_st,NACC2
hsa-miR-524-3p_st,NAV1
hsa-miR-524-3p_st,NCOA2
hsa-miR-524-3p_st,NEDD4
hsa-miR-524-3p_st,NR1H2
hsa-miR-524-3p_st,PDE4D
hsa-miR-524-3p_st,ATP13A1
hsa-miR-524-3p_st,PTGFRN
hsa-miR-524-3p_st,PTP4A3
hsa-miR-524-3p_st,PTPMT1
hsa-miR-524-3p_st,RAB9A
hsa-miR-524-3p_st,RBBP8
hsa-miR-524-3p_st,RCOR1
hsa-miR-524-3p_st,ATXN2L
hsa-miR-524-3p_st,RLIM
hsa-miR-524-3p_st,RNF19B
hsa-miR-524-3p_st,SH3BP4
hsa-miR-524-3p_st,SIK3
hsa-miR-524-3p_st,SIX3
hsa-miR-524-3p_st,SLC12A6
hsa-miR-524-3p_st,SLC35E1
hsa-miR-524-3p_st,SON
hsa-miR-524-3p_st,SORBS2
hsa-miR-524-3p_st,STK4
hsa-miR-524-3p_st,THBD
hsa-miR-524-3p_st,TNRC6B
hsa-miR-524-3p_st,TRAPPC10
hsa-miR-524-3p_st,UQCRB
hsa-miR-524-3p_st,YPEL5
hsa-miR-524-3p_st,ZCCHC24
hsa-miR-524-3p_st,C14orf166
hsa-miR-524-3p_st,C9orf114
hsa-miR-524-3p_st,CACNB3
hsa-miR-524-3p_st,CAMK2N1
hsa-miR-532-5p_st,CHST2
hsa-miR-532-5p_st,DNMT3A
hsa-miR-532-5p_st,ANTXR2
hsa-miR-532-5p_st,HSPA9
hsa-miR-532-5p_st,IGDCC4
hsa-miR-532-5p_st,ITGB8
hsa-miR-532-5p_st,KLF13
hsa-miR-532-5p_st,SLC39A8
hsa-miR-532-5p_st,SRRM2
hsa-miR-532-5p_st,UBXN7
hsa-miR-532-5p_st,CAMK2N1
hsa-miR-590-5p_st,CDKN2C
hsa-miR-590-5p_st,CNTFR
hsa-miR-590-5p_st,COL4A1
hsa-miR-590-5p_st,CSRNP3
hsa-miR-590-5p_st,EFNA2
hsa-miR-590-5p_st,FASLG
hsa-miR-590-5p_st,FOXG1
hsa-miR-590-5p_st,GATA2
hsa-miR-590-5p_st,NFIB
hsa-miR-590-5p_st,ARMC10
hsa-miR-590-5p_st,NIPAL1
hsa-miR-590-5p_st,NTF3
hsa-miR-590-5p_st,OSR1
hsa-miR-590-5p_st,PI15
hsa-miR-590-5p_st,PITX2
hsa-miR-590-5p_st,PURG
hsa-miR-590-5p_st,PVRL3
hsa-miR-590-5p_st,RGS7BP
hsa-miR-590-5p_st,SNX19
hsa-miR-590-5p_st,BMP3
hsa-miR-590-5p_st,TNKS
hsa-miR-590-5p_st,BTG2
hsa-miR-590-5p_st,XKR6
hsa-miR-590-5p_st,C11orf87
hsa-miR-613_st,CNNM2
hsa-miR-613_st,ADRBK2
hsa-miR-613_st,CTBP2
hsa-miR-613_st,DLG4
hsa-miR-613_st,DNAJC5
hsa-miR-613_st,EBPL
hsa-miR-613_st,EYA3
hsa-miR-613_st,FAM168A
hsa-miR-613_st,FAM84A
hsa-miR-613_st,ANKRD10
hsa-miR-613_st,HOXA3
hsa-miR-613_st,KIAA0040
hsa-miR-613_st,KIAA1462
hsa-miR-613_st,LRRC8A
hsa-miR-613_st,MAP4K3
hsa-miR-613_st,MAPK3
hsa-miR-613_st,ABL2
hsa-miR-613_st,MIPOL1
hsa-miR-613_st,MYO1E
hsa-miR-613_st,NDFIP2
hsa-miR-613_st,NINJ1
hsa-miR-613_st,PDE12
hsa-miR-613_st,PIGF
hsa-miR-613_st,PLEKHO2
hsa-miR-613_st,RBM26
hsa-miR-613_st,SAMD8
hsa-miR-613_st,SCD
hsa-miR-613_st,SH3GL1
hsa-miR-613_st,SLC37A3
hsa-miR-613_st,SLC7A11
hsa-miR-613_st,SMAD2
hsa-miR-613_st,BMF
hsa-miR-613_st,TECPR2
hsa-miR-613_st,TMEM120B
hsa-miR-613_st,TMEM135
hsa-miR-613_st,TMEM98
hsa-miR-613_st,ZBTB7A
hsa-miR-613_st,ZFHX4
hsa-miR-613_st,ZNF516
hsa-miR-613_st,ZNF827
hsa-miR-613_st,C2orf68
hsa-miR-670_st,CYB5D1
hsa-miR-670_st,DNAJC14
hsa-miR-670_st,DVL1
hsa-miR-670_st,EBF4
hsa-miR-670_st,ECE1
hsa-miR-670_st,ECHDC3
hsa-miR-670_st,EIF4EBP1
hsa-miR-670_st,EMID1
hsa-miR-670_st,ENPP1
hsa-miR-670_st,FAM174B
hsa-miR-670_st,ALG6
hsa-miR-670_st,FBXW4
hsa-miR-670_st,FOXD2
hsa-miR-670_st,FUT1
hsa-miR-670_st,GGT7
hsa-miR-670_st,ANPEP
hsa-miR-670_st,ITGB3
hsa-miR-670_st,KIAA1467
hsa-miR-670_st,LBH
hsa-miR-670_st,LGI2
hsa-miR-670_st,LIMK1
hsa-miR-670_st,MAMDC2
hsa-miR-670_st,MAP2K7
hsa-miR-670_st,MAP3K10
hsa-miR-670_st,MTUS2
hsa-miR-670_st,NCLN
hsa-miR-670_st,NKPD1
hsa-miR-670_st,NT5DC1
hsa-miR-670_st,NUDC
hsa-miR-670_st,OSBPL9
hsa-miR-670_st,PLEKHM3
hsa-miR-670_st,PPAT
hsa-miR-670_st,PPP5C
hsa-miR-670_st,ATP10D
hsa-miR-670_st,PTPRU
hsa-miR-670_st,RASGRF2
hsa-miR-670_st,RHOT2
hsa-miR-670_st,RNASEH2C
hsa-miR-670_st,RUSC2
hsa-miR-670_st,SCARF1
hsa-miR-670_st,SCLY
hsa-miR-670_st,SEPN1
hsa-miR-670_st,SH3TC2
hsa-miR-670_st,SIGIRR
hsa-miR-670_st,SLC16A6
hsa-miR-670_st,SLC24A2
hsa-miR-670_st,TAZ
hsa-miR-670_st,TDG
hsa-miR-670_st,TJAP1
hsa-miR-670_st,TMEM19
hsa-miR-670_st,BRSK2
hsa-miR-670_st,TRIM5
hsa-miR-670_st,TSHZ2
hsa-miR-670_st,TSNARE1
hsa-miR-670_st,TYSND1
hsa-miR-670_st,UBR7
hsa-miR-670_st,UBTD1
hsa-miR-670_st,USP2
hsa-miR-670_st,VTCN1
hsa-miR-670_st,WDR31
hsa-miR-670_st,ZCCHC8
hsa-miR-670_st,ZNF570
hsa-miR-670_st,ZNF8
hsa-miR-670_st,C7orf26
hsa-miR-708_st,CCDC42B
hsa-miR-708_st,CDKN2AIP
hsa-miR-708_st,CNTFR
hsa-miR-708_st,DAP
hsa-miR-708_st,DERL2
hsa-miR-708_st,DGCR6L
hsa-miR-708_st,DOK7
hsa-miR-708_st,ECSIT
hsa-miR-708_st,EPOR
hsa-miR-708_st,FOXN3
hsa-miR-708_st,GMPPB
hsa-miR-708_st,GPR88
hsa-miR-708_st,IFFO2
hsa-miR-708_st,KDM5C
hsa-miR-708_st,KLHL36
hsa-miR-708_st,LRRC14
hsa-miR-708_st,MARCH9
hsa-miR-708_st,MTCP1
hsa-miR-708_st,NUDT16L1
hsa-miR-708_st,ONECUT1
hsa-miR-708_st,AS3MT
hsa-miR-708_st,PDZD4
hsa-miR-708_st,PEX6
hsa-miR-708_st,PEX7
hsa-miR-708_st,PHKG2
hsa-miR-708_st,PIGV
hsa-miR-708_st,PPM1K
hsa-miR-708_st,PTPN4
hsa-miR-708_st,RBM23
hsa-miR-708_st,SF3A1
hsa-miR-708_st,SFXN2
hsa-miR-708_st,SLC16A7
hsa-miR-708_st,BCAM
hsa-miR-708_st,SLC37A4
hsa-miR-708_st,BEGAIN
hsa-miR-708_st,SSRP1
hsa-miR-708_st,TEX261
hsa-miR-708_st,TMEM200B
hsa-miR-708_st,TXNL1
hsa-miR-708_st,VAMP2
hsa-miR-708_st,WIPF2
hsa-miR-708_st,C11orf84
hsa-miR-708_st,C4orf50
hsa-miR-93_st,CCDC69
hsa-miR-93_st,CCNG1
hsa-miR-93_st,CCNJ
hsa-miR-93_st,CD274
hsa-miR-93_st,CDC40
hsa-miR-93_st,CNOT7
hsa-miR-93_st,COQ2
hsa-miR-93_st,AFF1
hsa-miR-93_st,DENND5B
hsa-miR-93_st,DIRC2
hsa-miR-93_st,DNAJB9
hsa-miR-93_st,EXOC6B
hsa-miR-93_st,FAM129A
hsa-miR-93_st,FAM46C
hsa-miR-93_st,FIGN
hsa-miR-93_st,FOXJ3
hsa-miR-93_st,GATAD2B
hsa-miR-93_st,GIT2
hsa-miR-93_st,GPR146
hsa-miR-93_st,KAT2B
hsa-miR-93_st,KIAA0922
hsa-miR-93_st,KIAA2018
hsa-miR-93_st,KLF10
hsa-miR-93_st,KLF11
hsa-miR-93_st,KLF3
hsa-miR-93_st,KLF6
hsa-miR-93_st,KLF9
hsa-miR-93_st,LMO3
hsa-miR-93_st,LRIG1
hsa-miR-93_st,MAP3K5
hsa-miR-93_st,MAPRE1
hsa-miR-93_st,MARCH8
hsa-miR-93_st,MBNL3
hsa-miR-93_st,MKNK2
hsa-miR-93_st,MOSPD2
hsa-miR-93_st,MRPS30
hsa-miR-93_st,MXI1
hsa-miR-93_st,NACC2
hsa-miR-93_st,NCOA3
hsa-miR-93_st,NEDD4L
hsa-miR-93_st,NFIB
hsa-miR-93_st,ORMDL3
hsa-miR-93_st,PCMTD1
hsa-miR-93_st,PHF1
hsa-miR-93_st,PIKFYVE
hsa-miR-93_st,ATF7IP
hsa-miR-93_st,PPP1R15B
hsa-miR-93_st,PPP6C
hsa-miR-93_st,PURG
hsa-miR-93_st,RASL11B
hsa-miR-93_st,RBL2
hsa-miR-93_st,RBM15B
hsa-miR-93_st,RNF38
hsa-miR-93_st,RORC
hsa-miR-93_st,SERTAD2
hsa-miR-93_st,BAG5
hsa-miR-93_st,SLAIN2
hsa-miR-93_st,SLC1A2
hsa-miR-93_st,SLC25A38
hsa-miR-93_st,BBX
hsa-miR-93_st,SLC41A1
hsa-miR-93_st,SLC45A4
hsa-miR-93_st,SLC48A1
hsa-miR-93_st,SUV420H1
hsa-miR-93_st,SYNE1
hsa-miR-93_st,SYT7
hsa-miR-93_st,TBC1D17
hsa-miR-93_st,TCEB3
hsa-miR-93_st,TMEM132B
hsa-miR-93_st,TOPORS
hsa-miR-93_st,TP53INP1
hsa-miR-93_st,TPPP
hsa-miR-93_st,BRWD1
hsa-miR-93_st,BTG2
hsa-miR-93_st,VPS13A
hsa-miR-93_st,C11orf30
hsa-miR-93_st,ZDHHC1
hsa-miR-93_st,ZXDA
hsa-miR-93_st,ACVR1B
hsa-miR-93_st,CAPRIN2
hsa-miR-96_st,CCDC50
hsa-miR-96_st,CCNG2
hsa-miR-96_st,CD248
hsa-miR-96_st,CELF2
hsa-miR-96_st,CEP170
hsa-miR-96_st,CEP97
hsa-miR-96_st,CFL1
hsa-miR-96_st,CHST1
hsa-miR-96_st,CLIC5
hsa-miR-96_st,CTTN
hsa-miR-96_st,DCUN1D3
hsa-miR-96_st,DDHD1
hsa-miR-96_st,DHX36
hsa-miR-96_st,AHR
hsa-miR-96_st,DRGX
hsa-miR-96_st,DYRK2
hsa-miR-96_st,EFNA1
hsa-miR-96_st,EFNA5
hsa-miR-96_st,EPHA3
hsa-miR-96_st,FAM110B
hsa-miR-96_st,FAM49B
hsa-miR-96_st,FAM60A
hsa-miR-96_st,FBXO32
hsa-miR-96_st,FLOT1
hsa-miR-96_st,FN1
hsa-miR-96_st,FOXF2
hsa-miR-96_st,FOXO3
hsa-miR-96_st,FRMD5
hsa-miR-96_st,FYN
hsa-miR-96_st,GAP43
hsa-miR-96_st,GPR39
hsa-miR-96_st,HBEGF
hsa-miR-96_st,HECW2
hsa-miR-96_st,HOXA5
hsa-miR-96_st,HS3ST1
hsa-miR-96_st,ABHD4
hsa-miR-96_st,IDS
hsa-miR-96_st,IGSF3
hsa-miR-96_st,ITPR1
hsa-miR-96_st,KCNK5
hsa-miR-96_st,KIAA0087
hsa-miR-96_st,LAMC1
hsa-miR-96_st,LIPH
hsa-miR-96_st,MAF
hsa-miR-96_st,MAL2
hsa-miR-96_st,MAP1B
hsa-miR-96_st,MAP4K4
hsa-miR-96_st,MAPRE1
hsa-miR-96_st,ARHGAP6
hsa-miR-96_st,MSN
hsa-miR-96_st,MYPN
hsa-miR-96_st,NDRG1
hsa-miR-96_st,NEK7
hsa-miR-96_st,OTUD6B
hsa-miR-96_st,PAK1
hsa-miR-96_st,PARD3B
hsa-miR-96_st,PDE7B
hsa-miR-96_st,PDLIM7
hsa-miR-96_st,PHLDB1
hsa-miR-96_st,PIK3CA
hsa-miR-96_st,PLCG1
hsa-miR-96_st,PLEKHM1
hsa-miR-96_st,PLOD2
hsa-miR-96_st,ATG16L1
hsa-miR-96_st,PPFIBP1
hsa-miR-96_st,PPM1F
hsa-miR-96_st,PPP1R15B
hsa-miR-96_st,PRDM1
hsa-miR-96_st,PSME4
hsa-miR-96_st,RAB21
hsa-miR-96_st,RAB23
hsa-miR-96_st,RCC2
hsa-miR-96_st,RHOBTB1
hsa-miR-96_st,RHPN2
hsa-miR-96_st,RILPL1
hsa-miR-96_st,RND3
hsa-miR-96_st,S100PBP
hsa-miR-96_st,SAMD12
hsa-miR-96_st,SBDS
hsa-miR-96_st,SCUBE3
hsa-miR-96_st,BAI3
hsa-miR-96_st,SHC1
hsa-miR-96_st,SLC12A5
hsa-miR-96_st,BASP1
hsa-miR-96_st,SLC30A7
hsa-miR-96_st,BCAT2
hsa-miR-96_st,SLC6A6
hsa-miR-96_st,BCL2L11
hsa-miR-96_st,SLC9A2
hsa-miR-96_st,SNX30
hsa-miR-96_st,SPAST
hsa-miR-96_st,SPSB1
hsa-miR-96_st,ST3GAL2
hsa-miR-96_st,STK10
hsa-miR-96_st,TAS2R4
hsa-miR-96_st,THBS2
hsa-miR-96_st,TP73
hsa-miR-96_st,TPM2
hsa-miR-96_st,TPRG1
hsa-miR-96_st,TRIO
hsa-miR-96_st,TSKU
hsa-miR-96_st,WHAMM
hsa-miR-96_st,YWHAG
hsa-miR-96_st,ZEB1
hsa-miR-96_st,ACVR1
hsa-miR-96_st,CACNA1C
hsa-miR-96_st,CACNB4
hsa-miR-96_st,ADAM19
hsa-miR-96_st,ADAM23
hsa-miR-1297_st,CILP
hsa-miR-1297_st,COMMD8
hsa-miR-1297_st,DNAJC24
hsa-miR-1297_st,AKAP7
hsa-miR-1297_st,FAM160A1
hsa-miR-1297_st,GABRA4
hsa-miR-1297_st,GFI1
hsa-miR-1297_st,GTF3C2
hsa-miR-1297_st,HINT1
hsa-miR-1297_st,KCTD18
hsa-miR-1297_st,KIAA1737
hsa-miR-1297_st,KIAA2013
hsa-miR-1297_st,LPAR3
hsa-miR-1297_st,MTX2
hsa-miR-1297_st,MYPOP
hsa-miR-1297_st,P2RY1
hsa-miR-1297_st,PLBD2
hsa-miR-1297_st,PRKCQ
hsa-miR-1297_st,ATP5A1
hsa-miR-1297_st,RDH14
hsa-miR-1297_st,RFK
hsa-miR-1297_st,RPGR
hsa-miR-1297_st,SLC25A20
hsa-miR-1297_st,SLCO5A1
hsa-miR-1297_st,STAC2
hsa-miR-1297_st,BLOC1S2
hsa-miR-1297_st,TBC1D13
hsa-miR-1297_st,TMEM56
hsa-miR-1297_st,USP27X
hsa-miR-1297_st,WBSCR16
hsa-miR-1297_st,WHSC1
hsa-miR-1297_st,ZNF598
hsa-miR-132_st,GLRB
hsa-miR-132_st,GMPR
hsa-miR-132_st,ARX
hsa-miR-132_st,SALL3
hsa-miR-133b_st,CDK5R1
hsa-miR-133b_st,ADARB2
hsa-miR-133b_st,CELF4
hsa-miR-133b_st,CHD3
hsa-miR-133b_st,CKAP4
hsa-miR-133b_st,ADRA2B
hsa-miR-133b_st,CPLX2
hsa-miR-133b_st,CSNK1G3
hsa-miR-133b_st,AFTPH
hsa-miR-133b_st,DCLRE1A
hsa-miR-133b_st,DOT1L
hsa-miR-133b_st,DSTYK
hsa-miR-133b_st,ABCD2
hsa-miR-133b_st,EEF1A1
hsa-miR-133b_st,ELAVL1
hsa-miR-133b_st,ENPEP
hsa-miR-133b_st,EXD2
hsa-miR-133b_st,EYA4
hsa-miR-133b_st,FAM193B
hsa-miR-133b_st,FBN2
hsa-miR-133b_st,FBXL2
hsa-miR-133b_st,AMD1
hsa-miR-133b_st,FOXP4
hsa-miR-133b_st,ANK2
hsa-miR-133b_st,GPM6A
hsa-miR-133b_st,GPR173
hsa-miR-133b_st,GRIA2
hsa-miR-133b_st,GXYLT1
hsa-miR-133b_st,ANKRD44
hsa-miR-133b_st,HLTF
hsa-miR-133b_st,AOX1
hsa-miR-133b_st,ISCA2
hsa-miR-133b_st,JDP2
hsa-miR-133b_st,KCND3
hsa-miR-133b_st,KIAA1024
hsa-miR-133b_st,KLHL11
hsa-miR-133b_st,AQP1
hsa-miR-133b_st,LANCL2
hsa-miR-133b_st,LHX5
hsa-miR-133b_st,LHX9
hsa-miR-133b_st,MPPED1
hsa-miR-133b_st,MRPL44
hsa-miR-133b_st,NLGN2
hsa-miR-133b_st,NRIP3
hsa-miR-133b_st,ARPP21
hsa-miR-133b_st,PDE10A
hsa-miR-133b_st,PDE8B
hsa-miR-133b_st,POU4F1
hsa-miR-133b_st,PPP2R4
hsa-miR-133b_st,ACAT2
hsa-miR-133b_st,PREX1
hsa-miR-133b_st,RFX6
hsa-miR-133b_st,RIMS1
hsa-miR-133b_st,RTN4RL1
hsa-miR-133b_st,RWDD2A
hsa-miR-133b_st,SACM1L
hsa-miR-133b_st,B3GNT2
hsa-miR-133b_st,SEC61B
hsa-miR-133b_st,SFXN2
hsa-miR-133b_st,SGPP1
hsa-miR-133b_st,SGSM1
hsa-miR-133b_st,SLC41A1
hsa-miR-133b_st,BCL2L2
hsa-miR-133b_st,SNX15
hsa-miR-133b_st,SOCS2
hsa-miR-133b_st,STXBP6
hsa-miR-133b_st,SVOP
hsa-miR-133b_st,TCF7
hsa-miR-133b_st,THNSL1
hsa-miR-133b_st,TMEM158
hsa-miR-133b_st,TMEM200B
hsa-miR-133b_st,TRAF3IP2
hsa-miR-133b_st,USH1G
hsa-miR-133b_st,VEGFC
hsa-miR-133b_st,WIPF2
hsa-miR-133b_st,YIPF4
hsa-miR-133b_st,ZC3H14
hsa-miR-133b_st,ZNF354B
hsa-miR-133b_st,C1QL1
hsa-miR-133b_st,C2orf69
hsa-miR-133b_st,CASC3
